application_id,submission_date,itr_assessment_year,state,lender_type,loan_type,employment_type,application_channel,document_bundle_size,cibil_score,loan_amount_inr,land_record_document_type,land_record_state,land_record_survey_no,land_record_owner_name,sale_deed_consideration_value,ec_registered_value,ec_liens_count,mutation_date_manipulated,borrower_name,declared_income_annual_inr,borrower_pan,borrower_aadhaar_no,identity_document_type,itr_declared_income,itr_acknowledgement_no,itr_filing_date,form_16_gross_salary,form_16_employer_tan,salary_slip_gross_monthly_inr,salary_slip_employer_name,salary_slip_employer_tan,bank_statement_annual_credits_inr,bank_statement_unusual_credits_count,bank_statement_round_number_flag,gst_annual_turnover,gst_registration_number,gst_cross_month_inconsistency,balance_sheet_total_assets,balance_sheet_total_liabilities,pnl_net_profit_inr,balance_sheet_auditor_urn,nach_mandate_beneficiary_name,nach_mandate_amount_inr,nach_mandate_alteration_detected,guarantor_name,guarantor_overcommitment_detected,pdf_structural_anomaly_score,pixel_manipulation_detected,cloned_region_detected,frequency_domain_anomaly_score,font_inconsistency_score,physical_scan_coherence_score,metadata_timestamp_contradiction,unicode_substitution_detected,ai_generated_document_probability,compression_anomaly_detected,documents_flagged_count,pdf_metadata_modification_delay_days,income_cross_doc_variance_pct,itr_vs_bank_stmt_discrepancy_pct,form16_vs_salary_slip_discrepancy_pct,property_valuation_discrepancy_pct,encumbrance_suppression_flag,double_pledge_risk_score,employment_tan_mismatch,field_investigation_status,field_investigation_gps_mismatch,overall_fraud_risk_score,fraud_risk_category,manual_review_triggered,adverse_action_triggered,final_decision,processing_time_ms,ground_truth_fraud_label,fraud_sub_type,document_primary_language,adverse_action_reason,rbi_fpc_compliant,audit_log_hash
SRS-2023-000001,26-11-2022,FY2021-22,Bihar,Private_Bank,Housing_Finance,Self_Employed_Professional,Business_Correspondent,9,807,48788420,,,,,,,,,Deepak Patel,8800000,UOBPP7595Z,XXXX-XXXX-5450,Aadhaar,8652057,327598906496696,26-08-2022,,,,,,8549458,0,False,18293562,10UOBPP7595Z8ZS,False,16427000,16427000,8419000,269079213840815919,PolyOculus Finance,125000,False,Anil Nair,False,0.1475,False,False,0.511,0.5618,0.8942,False,False,0.1521,False,0,2,2.0382,10.7266,,,False,0.0309,False,Passed,False,16,Clean,False,False,Approved,477,0,Clean,Hindi,,False,c7efbb62e53a
SRS-2022-000001,31-05-2022,FY2021-22,Rajasthan,Private_Bank,Agricultural,Agricultural_Cultivator,Branch,7,652,1093241,Jamabandi,Rajasthan,170/9A,Vivaan Menon,2000000,1978198,1,False,Vivaan Menon,699434,RNQPM6757C,XXXX-XXXX-3526,PAN_Card,,,,,,,,,771060,1,False,,,,,,,,,,,Vivaan Patel,False,0.2415,False,False,0.6553,0.0614,0.8736,False,False,0.3553,False,0,2,9.5084,6.0703,,13.9536,False,0.2428,False,Passed,False,9,Clean,False,False,Approved,652,0,Clean,Hindi,,False,0a50e74c0434
SRS-2022-000002,11-01-2022,FY2021-22,Assam,Small_Finance_Bank,Housing_Finance,Salaried_MNC,Business_Correspondent,8,661,28793732,Jamabandi,Assam,561/4B,Ramesh Mishra,35111593,35556172,0,False,Ramesh Mishra,6893783,FVFPM1788R,XXXX-XXXX-4520,Aadhaar,6884952,316169346355334,31-12-2021,6842276,USQH36344Y,552442,Reliance Industries,USQH36344Y,6357342,2,False,,,,,,,,PolyOculus Finance,125000,False,,,0.5063,False,False,0.5049,0.33,0.9098,False,False,0.1625,False,0,2,3.5183,1.7039,3.137,12.1392,False,0.2363,False,Passed,False,18,Clean,False,False,Approved,704,0,Clean,English,,False,a4e5af26678b
SRS-2024-000001,14-03-2024,FY2022-23,Assam,NBFC,Retail_Salaried,Salaried_Private_Sector,Digital_Portal,9,667,3896268,,,,,,,,,Ramesh Patil,1228539,DEOPP5817L,XXXX-XXXX-0722,Aadhaar,1230736,739806196275533,06-10-2023,1236074,VNJX53844T,94874,HDFC Bank Ltd,VNJX53844T,1210818,0,False,,,,,,,,PolyOculus Finance,65315,False,Rahul Mishra,False,0.0574,False,False,0.2996,0.4692,0.8692,False,False,0.0898,False,0,1,2.5551,10.5341,4.8814,,False,0.261,False,Not_Applicable,,8,Clean,False,False,Approved,1241,0,Clean,English,,False,4ed2231009bf
SRS-2022-000003,15-05-2023,FY2021-22,Uttarakhand,PSB,Agricultural,Agricultural_Labourer,Branch,9,608,704855,Khatauni,Uttarakhand,533/5A,Diya Kulkarni,2000000,1968534,0,False,Diya Kulkarni,272225,ZQWPK7892T,XXXX-XXXX-9818,PAN_Card,,,,,,,,,293161,0,False,,,,,,,,,,,,,0.2712,False,False,0.1015,0.1821,0.6497,False,False,0.0229,False,0,2,6.5092,6.6746,,1.4005,False,0.0623,False,Passed,False,0,Clean,False,False,Approved,479,0,Clean,Hindi,,False,9bdd3b572d4e
SRS-2026-000001,27-10-2024,FY2022-23,Jammu & Kashmir,PSB,Agricultural,Agricultural_Labourer,DSA,12,814,1249316,Girdawari,Jammu & Kashmir,428/5A,Priya Verma,2076514,2127107,0,False,Priya Verma,442993,SLYPV4738Y,XXXX-XXXX-8542,PAN_Card,,,,,,,,,398745,2,False,,,,,,,,,,,,,0.2791,False,False,0.2987,0.2297,0.7071,False,False,0.3011,False,0,1,2.4777,6.7577,,6.4095,False,0.1205,False,Passed,False,2,Clean,False,False,Approved,1148,0,Clean,Hindi,,False,1c662c8b255b
SRS-2026-000002,19-07-2023,FY2022-23,West Bengal,Private_Bank,Retail_Salaried,Salaried_MNC,Digital_Portal,8,707,2333390,,,,,,,,,Ananya Kumar,714235,KDWPK1279D,XXXX-XXXX-2435,PAN_Card,690003,900194020039657,07-02-2023,1394029,UEMA89517Q,58613,Tech Mahindra,LJMG37688P,733980,2,True,,,,,,,,HDFC Finance,41301,False,,,0.4511,False,True,0.7621,0.5282,0.5871,True,False,0.3537,False,2,33,143.4921,4.3268,202.4795,,False,0.2303,True,Not_Applicable,,64,Medium_Risk,True,False,Manual_Review,8172,1,Form16_Income_Inflation,Bengali,,False,ae2b0772340b
SRS-2025-000001,25-12-2023,FY2021-22,Jammu & Kashmir,HFC,MSME,Self_Employed_Professional,Branch,10,820,15661292,,,,,,,,,Divya Choudhury,6453588,ETYPC1722I,XXXX-XXXX-2226,Aadhaar,6724760,666750464988499,05-10-2023,,,,,,6295417,2,False,10168072,01ETYPC1722I6Z4,False,27989000,27989000,4924000,264641583619646025,,,,,,0.5263,True,True,0.5732,0.4242,0.082,True,False,0.1868,False,5,19,137.2108,89.4177,,,False,0.2527,False,Passed,False,72,Medium_Risk,True,False,Manual_Review,3781,1,GST_Turnover_Manipulation,Hindi,,False,bc5c46f115b6
SRS-2025-000002,22-07-2022,FY2021-22,Jammu & Kashmir,PSB,Retail_Salaried,Salaried_Private_Sector,Branch,12,640,3372461,,,,,,,,,Vijay Pillai,1288514,ADWPP9156F,XXXX-XXXX-9235,PAN_Card,1234191,649869464903367,08-02-2022,1295969,HLWJ59410X,181837,State Bank of India,HLWJ59410X,1424716,2,False,,,,,,,,HDFC Finance,48718,False,Arjun Patel,False,0.7143,True,False,0.7328,0.8009,0.3546,True,False,0.6387,False,3,26,109.3409,16.4838,193.5051,,False,0.2761,False,Not_Applicable,,62,Medium_Risk,True,False,Manual_Review,4467,1,Salary_Slip_Manipulation,Hindi,,False,0c387bf65e02
SRS-2025-000003,23-09-2023,FY2022-23,Maharashtra,PSB,Housing_Finance,Partnership_Firm,Digital_Portal,9,825,4943949,7/12 Extract,Maharashtra,804/7,Sunita Kulkarni,6479978,6273657,1,False,Sunita Kulkarni,1818507,PUOPK1842W,XXXX-XXXX-7332,Aadhaar,1866613,986278481266261,09-09-2023,,,,,,1666690,2,False,2788128,27PUOPK1842W1ZS,False,4595000,4595000,1884000,268624270002474360,PolyOculus Finance,93722,False,,,0.1933,False,False,0.2585,0.0464,0.9675,False,False,0.2753,False,0,1,15.4179,4.5429,,16.6694,False,0.0979,False,Passed,False,2,Clean,False,False,Approved,592,0,Clean,Marathi,,False,1b4f65d8e686
