application_id,lending_segment,borrower_name,declared_income_annual,itr_declared_income,itr_acknowledgement_no,form_16_gross_salary,form_16_employer_tan,salary_slip_gross_salary_monthly,salary_slip_employer_name,bank_statement_annual_credits,bank_statement_unusual_credits,gst_annual_turnover,gst_registration_number,gst_turnover_inconsistency_detected,nach_mandate_beneficiary_name,nach_mandate_authorized_amount,nach_mandate_alteration_detected,land_record_type,land_record_survey_no,land_record_owner_name,sale_deed_consideration_value,ec_registered_value,ec_liens_count,pdf_metadata_modification_delay_days,compression_anomaly_detected,cloned_signature_detected,font_substitution_detected,physical_coherence_anomaly_detected,ai_generation_score,double_pledge_detected,guarantor_name,guarantor_overcommitment_detected,document_primary_language,is_fraud,fraud_pattern,adverse_action_reason
APP20260000,Agricultural,Vivaan Bose,332323,0,None,0,None,0,None,351021,0,0,None,0,None,0,0,Patta,764/2D,Vivaan Bose,0,0,0,2,0,0,0,0,0.0443,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260001,Agricultural,Sai Kumar,1029796,0,None,0,None,0,None,1024242,0,0,None,0,None,0,0,Patta,584/4D,Sai Kumar,0,0,0,1,0,0,0,0,0.0807,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260002,Housing,Aarav Dutta,1670328,1670328,227133320419026,1670328,XJEB67988M,139194,HDFC Bank Ltd,1675185,0,0,None,0,PolyOculus Finance,69597,0,7/12 Extract,864/6A,Aarav Dutta,12665015,12665015,0,1,0,0,0,0,0.1077,0,Karan Kulkarni,0,English,0,clean,Application cleared all automated document checks.
APP20260003,Agricultural,Kavitha Gowda,716121,0,None,0,None,0,None,732621,0,0,None,0,None,0,0,Patta,177/8C,Kavitha Gowda,0,0,0,1,0,0,0,0,0.0848,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260004,Housing,Vihaan Rao,1861944,1861944,229836394225258,1861944,KFZN00167N,155162,Aditya Birla Group,1854025,0,0,None,0,PolyOculus Finance,77581,0,7/12 Extract,400/10C,Vihaan Rao,8455324,8455324,0,0,0,0,0,0,0.1227,0,Geeta Reddy,0,Marathi,0,clean,Application cleared all automated document checks.
APP20260005,Agricultural,Mohammad Naidu,481680,0,None,0,None,0,None,491415,0,0,None,0,None,0,0,7/12 Extract,124/5C,Mohammad Naidu,0,0,0,2,0,0,0,0,0.1176,1,None,0,Marathi,1,double_pledging,Adverse Action Recommended: Double-pledging detected. The survey number 124/5C is currently pledged as active collateral in another live loan application.
APP20260006,Housing,Sunita Dutta,934728,934728,826617575030988,934728,HBWY04077E,77894,Godrej Industries,940302,0,0,None,0,PolyOculus Finance,38947,0,7/12 Extract,179/5D,Sunita Dutta,11224173,11224173,0,1,0,0,0,0,0.0811,0,Kavitha Deshmukh,0,English,0,clean,Application cleared all automated document checks.
APP20260007,MSME,Deepak Patil,4641740,4641740,420055070003524,0,None,0,None,4662418,0,5938582,95MUUEC4447VXXC,0,None,0,0,None,None,None,0,0,0,2,0,0,0,0,0.0713,0,Yagyesh Bhalerao,0,English,0,clean,Application cleared all automated document checks.
APP20260008,MSME,Amit Kumar,1839209,1839209,229485098998142,0,None,0,None,1841774,0,3202919,10KYUHS7764GK8U,0,None,0,0,None,None,None,0,0,0,3,0,0,0,0,0.0296,0,Meena Verma,0,English,0,clean,Application cleared all automated document checks.
APP20260009,Agricultural,Vihaan Prasad,539703,0,None,0,None,0,None,524193,0,0,None,0,None,0,0,Patta,68/9,Vihaan Prasad,0,0,0,3,0,0,0,0,0.0804,0,None,0,Tamil,0,clean,Application cleared all automated document checks.
APP20260010,MSME,Ananya Patel,633377,633377,645592723623704,0,None,0,None,985753,1,1138595,02GYWWJ1876ZXA3,0,None,0,0,None,None,None,0,0,0,1,0,0,0,0,0.091,0,Deepak Naidu,0,English,1,unusual_credits,"Adverse Action Recommended: Circular trading and artificial balance padding detected. Bank statement logs reveal repetitive, round-number credits from related entities."
APP20260011,Housing,Mohammad Patel,2502624,2502624,236852906803191,2502624,LSOC96103R,208552,Wipro Technologies,2506707,0,0,None,0,PolyOculus Finance,104276,0,7/12 Extract,52/5B,Mohammad Patel,4138181,4138181,0,1,0,0,0,0,0.0481,0,Aditya Kulkarni,0,English,0,clean,Application cleared all automated document checks.
APP20260012,Agricultural,Vikram Dutta,521305,0,None,0,None,0,None,528325,0,0,None,0,None,0,0,Patta,957/4A,Vikram Dutta,0,0,0,3,0,0,0,0,0.1463,1,None,0,Tamil,1,double_pledging,Adverse Action Recommended: Double-pledging detected. The survey number 957/4A is currently pledged as active collateral in another live loan application.
APP20260013,Housing,Diya Bhalerao,2806020,2806020,188284372013892,2806020,QKZN91919I,233835,Tata Consultancy Services,2799572,0,0,None,0,PolyOculus Finance,116917,0,7/12 Extract,454/6B,Diya Bhalerao,12008804,12008804,0,1,0,0,0,0,0.0474,1,Aaradhya Yadav,0,Marathi,1,double_pledging,Adverse Action Recommended: Asset double-pledging. This property identifier is already registered as security under another active housing loan.
